date,Netflix. Inc,Netflix_x,Netflix Stock,Streaming media,Reed Hastings_x,Open,High,Low,Close,Volume,Dividends,Stock Splits,dow_open,dow_high,dow_low,dow_close,dow_vol,nas_open,nas_high,nas_low,nas_close,nas_vol,Netflix_y,Reed Hastings_y,Wiki_total,Google_total,Stock_total,Nas_total,Dow_total,Wiki_Moment_1,Wiki_Moment_2,Wiki_Moment_1_s,Wiki_Moment_2_s,Wiki_MAvg,Wiki_MAvg_s,Wiki_Disparity,Wiki_Disparity_s,Wiki_ROC,Wiki_ROC_s,Wiki_Rocp,Wiki_EMA,Wiki_diff,Wiki_gain,Wiki_loss,Wiki_avg_gain,Wiki_avg_loss,Wiki_rs,Wiki_RSI,Wiki_Move,Wiki_MAvg_Move,Wiki_MAvg_s_Move,Wiki_EMA_Move,Wiki_Disparity_Move,Wiki_Disparity_s_Move,Wiki_RSI_Move,Google_Moment_1,Google_Moment_2,Google_Moment_1_s,Google_Moment_2_s,Google_MAvg,Google_MAvg_s,Google_Disparity,Google_Disparity_s,Google_ROC,Google_ROC_s,Google_Rocp,Google_EMA,Google_diff,Google_gain,Google_loss,Google_avg_gain,Google_avg_loss,Google_rs,Google_RSI,Google_Move,Google_MAvg_Move,Google_MAvg_s_Move,Google_EMA_Move,Google_Disparity_Move,Google_Disparity_s_Move,Google_RSI_Move,Stock_Moment_1,Stock_Moment_2,Stock_Moment_1_s,Stock_Moment_2_s,Stock_MAvg,Stock_MAvg_s,Stock_Disparity,Stock_Disparity_s,Stock_ROC,Stock_ROC_s,Stock_Rocp,Stock_EMA,Stock_diff,Stock_gain,Stock_loss,Stock_avg_gain,Stock_avg_loss,Stock_rs,Stock_RSI,Stock_Move,Stock_MAvg_Move,Stock_MAvg_s_Move,Stock_EMA_Move,Stock_Disparity_Move,Stock_Disparity_s_Move,Stock_RSI_Move,Nas_Moment_1,Nas_Moment_2,Nas_Moment_1_s,Nas_Moment_2_s,Nas_MAvg,Nas_MAvg_s,Nas_Disparity,Nas_Disparity_s,Nas_ROC,Nas_ROC_s,Nas_Rocp,Nas_EMA,Nas_diff,Nas_gain,Nas_loss,Nas_avg_gain,Nas_avg_loss,Nas_rs,Nas_RSI,Nas_Move,Nas_MAvg_Move,Nas_MAvg_s_Move,Nas_EMA_Move,Nas_Disparity_Move,Nas_Disparity_s_Move,Nas_RSI_Move,Dow_Moment_1,Dow_Moment_2,Dow_Moment_1_s,Dow_Moment_2_s,Dow_MAvg,Dow_MAvg_s,Dow_Disparity,Dow_Disparity_s,Dow_ROC,Dow_ROC_s,Dow_Rocp,Dow_EMA,Dow_diff,Dow_gain,Dow_loss,Dow_avg_gain,Dow_avg_loss,Dow_rs,Dow_RSI,Dow_Move,Dow_MAvg_Move,Dow_MAvg_s_Move,Dow_EMA_Move,Dow_Disparity_Move,Dow_Disparity_s_Move,Dow_RSI_Move,target_1,target_2,target_3,target_4,target_5
2019-01-01,0.0,29.08695652173913,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,18853,2310,21163,29.08695652173913,,,,,,,,21163.0,21163.0,100.0,100.0,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,29.08695652173913,29.08695652173913,100.0,100.0,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-02,0.0,26.375,0.5,0.0,0.0,259.2799987792969,269.75,256.5799865722656,267.6600036621094,11679500.0,0.0,0.0,23058.609375,23413.470703125,22928.58984375,23346.240234375,321570000.0,6506.91015625,6693.7099609375,6506.8798828125,6665.93994140625,2261800000.0,22905,3146,26051,26.875,267.6600036621094,6665.93994140625,23346.240234375,,,,,23607.0,23607.0,110.35286143940357,110.35286143940357,,,,22385.0,4888.0,4888.0,0.0,,,,,1,1,1,0,1,1,0,,,,,27.980978260869563,27.980978260869563,96.0473924444013,96.0473924444013,,,,28.533967391304348,-2.211956521739129,0.0,-2.21,,,,,0,0,0,0,0,0,0,,,,,267.6600036621094,267.6600036621094,100.0,100.0,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,6665.93994140625,6665.93994140625,100.0,100.0,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,23346.240234375,23346.240234375,100.0,100.0,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,1
2019-01-03,0.0,32.541666666666664,0.3333333333333333,0.0,0.0,270.20001220703125,275.7900085449219,264.42999267578125,271.20001220703125,14969600.0,0.0,0.0,23176.390625,23176.390625,22638.41015625,22686.220703125,424240000.0,6584.77001953125,6600.2099609375,6457.1298828125,6463.5,2607290000.0,20646,2666,23312,32.875,271.20001220703125,6463.5,22686.220703125,,,,,23508.666666666668,23508.666666666668,99.163429089981,99.163429089981,,,,23533.25,-2739.0,0.0,-2739.0,,,,,0,0,0,1,0,0,0,,,,,29.612318840579707,29.612318840579707,111.01798605163344,111.01798605163344,,,,29.204483695652172,6.0,6.0,0.0,,,,,1,1,1,1,1,1,0,,,,,269.4300079345703,269.4300079345703,100.65694400042136,100.65694400042136,,,,268.54500579833984,3.540008544921875,3.54,0.0,,,,,1,1,1,0,1,1,0,,,,,6564.719970703125,6564.719970703125,98.45812203483398,98.45812203483398,,,,6615.3299560546875,-202.43994140625,0.0,-202.44,,,,,0,0,0,0,0,0,0,,,,,23016.23046875,23016.23046875,98.56618673473457,98.56618673473457,,,,23181.2353515625,-660.01953125,0.0,-660.02,,,,,0,0,0,0,0,0,0,1,1,1,1,1
2019-01-04,0.0,29.708333333333332,0.0,0.0,0.375,281.8800048828125,297.79998779296875,278.5400085449219,297.57000732421875,19330100.0,0.0,0.0,22894.919921875,23518.640625,22894.919921875,23433.16015625,396020000.0,6567.14013671875,6760.68994140625,6554.240234375,6738.85986328125,2579550000.0,19040,2307,21347,30.083333333333332,297.57000732421875,6738.85986328125,23433.16015625,,,100.86944195057413,18400.0,22968.25,23570.0,92.9413429407987,90.56851930420025,,0.8694419505741152,,22968.25,-1965.0,0.0,-1965.0,,,,,0,0,1,0,0,0,0,,,103.42551071250622,99.63768115942031,29.730072463768114,29.944444444444443,101.18822740844556,100.46382189239331,,3.425510712506229,,29.730072463768114,-2.791666666666668,0.0,-2.79,,,,,0,1,1,1,0,0,0,,,,,278.8100077311198,278.8100077311198,106.72859620275568,106.72859620275568,,,,276.4650077819824,26.3699951171875,26.37,0.0,,,,,1,1,1,1,1,1,0,,,,,6622.7666015625,6622.7666015625,101.75294206640713,101.75294206640713,,,,6608.254943847656,275.35986328125,275.36,0.0,,,,,1,1,1,0,1,1,0,,,,,23155.20703125,23155.20703125,101.20039144813033,101.20039144813033,,,,23120.462890625,746.939453125,746.94,0.0,,,,,1,1,1,0,1,1,0,0,0,0,0,0
2019-01-05,0.0,30.333333333333332,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,19227,2021,21248,30.333333333333332,,,,,,81.5630877893363,-480300.0,22624.2,21969.0,93.91713298149769,96.71810278119169,,-18.436912210663696,,22538.1875,-99.0,0.0,-99.0,,,,,0,0,0,0,1,1,0,,,112.86821705426355,345.8333333333332,29.850724637681157,31.097222222222218,101.61674030198573,97.54354622599377,,12.868217054263562,,29.880887681159418,0.25,0.25,0.0,,,,,1,1,1,1,1,0,0,,,,,278.8100077311198,284.385009765625,,,,,,,,,,,,,,0,0,1,0,0,0,0,,,,,6622.7666015625,6601.179931640625,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,23155.20703125,23059.6904296875,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-06,0.0,22.541666666666668,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,18771,2056,20827,22.541666666666668,,,,,,89.34025394646534,-248500.0,22324.666666666668,21140.666666666668,93.29142652372562,98.51628772350288,,-10.659746053534661,,22174.9,-421.0,0.0,-421.0,,,,,0,0,0,0,0,1,0,,,68.56780735107732,-1033.3333333333333,28.632548309178745,27.652777777777775,78.72742035832164,81.51682571572076,,-31.432192648922687,,28.023460144927533,-7.791666666666664,0.0,-7.79,,,,,0,0,0,0,0,0,0,,,,,278.8100077311198,297.57000732421875,,,,,,,,,,,,,,0,0,1,0,0,0,0,,,,,6622.7666015625,6738.85986328125,,,,,,,,,,,,,,0,0,1,0,0,0,0,,,,,23155.20703125,23433.16015625,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0
2019-01-07,0.0,21.5,0.2916666666666667,0.0,0.0,302.1000061035156,316.79998779296875,301.6499938964844,315.3399963378906,18620100.0,0.0,0.0,23474.259765625,23687.740234375,23301.58984375,23531.349609375,334200000.0,6757.52978515625,6855.60009765625,6741.39990234375,6823.47021484375,2507550000.0,21693,4861,26554,21.791666666666668,315.3399963378906,6823.47021484375,23531.349609375,,,124.39218625567996,520700.0,22928.85714285714,22876.333333333332,115.81039488604503,116.07629427792916,,24.392186255679952,,23382.0,5727.0,5727.0,0.0,,,,,1,1,1,1,1,1,0,,,72.43767313019391,-829.1666666666664,27.65527950310559,24.88888888888889,78.79749204566724,87.55580357142857,,-27.562326869806085,,26.922327898550726,-0.75,0.0,-0.75,,,,,0,0,0,0,1,1,0,,,105.97170029784301,1776.9989013671875,287.9425048828125,315.3399963378906,109.51491738471483,100.0,,5.9717002978430225,,287.9425048828125,,,,,,,,0,1,1,0,0,0,0,,,101.25555885237392,8461.03515625,6672.9425048828125,6823.47021484375,102.25579210147235,100.0,,1.2555588523739085,,6672.9425048828125,,,,,,,,0,1,1,0,0,0,0,,,100.4190192550654,9818.9453125,23249.24267578125,23531.349609375,101.21340267951015,100.0,,0.41901925506539633,,23249.24267578125,,,,,,,,0,1,1,0,0,0,0,1,1,1,1,0
2019-01-08,0.0,25.0,1.0,0.0,0.0,319.9800109863281,320.5899963378906,308.010009765625,320.2699890136719,15359200.0,0.0,0.0,23680.3203125,23864.650390625,23581.44921875,23787.44921875,317420000.0,6893.43994140625,6909.580078125,6795.85986328125,6897.0,2380290000.0,17369,2179,19548,26.0,320.2699890136719,6897.0,23787.44921875,92.36875679251524,-161500.0,91.9992469879518,-170000.0,22698.14285714286,22309.666666666668,86.12158326357725,87.62121053653871,-7.631243207484761,-8.000753012048193,-12.104024767801857,22083.642857142855,-7006.0,0.0,-7006.0,,,,,0,0,0,0,0,0,0,89.38714499252616,-308.6956521739129,85.71428571428572,-433.3333333333332,27.214285714285715,23.444444444444446,95.53805774278214,110.90047393364928,-10.612855007473836,-14.285714285714283,-8.42253521126761,27.241459627329192,4.208333333333332,4.21,0.0,,,,,1,0,0,1,1,1,0,,,,,294.4080017089844,317.80499267578125,108.78440366924926,100.775631722188,,,,296.02437591552734,4.92999267578125,4.93,0.0,,,,,1,1,1,1,0,1,0,,,,,6717.75400390625,6860.235107421875,102.66824292746537,100.53591301176179,,,,6728.956878662109,73.52978515625,73.53,0.0,,,,,1,1,1,1,1,1,0,,,,,23356.883984375,23659.3994140625,101.84341898800815,100.54122170409529,,,,23383.794311523438,256.099609375,256.1,0.0,,,,,1,1,1,1,1,1,0,0,0,0,0,0
2019-01-09,0.0,24.625,0.0,0.0,0.0,317.7099914550781,323.3500061035156,313.5,319.9599914550781,13343200.0,0.0,0.0,23844.26953125,24084.7109375,23703.16015625,23879.119140625,324570000.0,6923.06005859375,6985.22021484375,6899.56005859375,6957.080078125,2422590000.0,18310,2054,20364,24.625,319.9599914550781,6957.080078125,23879.119140625,78.16974396376338,-568700.0,97.77692418495224,-46300.0,21885.714285714286,22155.333333333332,93.04699738903393,91.9146631360395,-21.830256036236612,-2.2230758150477743,-3.5807983119395113,22114.607142857145,816.0,816.0,0.0,,,,,1,0,0,1,1,1,0,91.62790697674419,-225.0,109.24214417744915,208.3333333333332,26.892857142857142,24.138888888888886,91.56706507304116,102.0138089758343,-8.372093023255815,9.242144177449163,-10.944444444444445,26.566964285714285,-1.375,0.0,-1.38,,,,,0,0,1,0,0,0,0,119.53970973526236,5229.998779296875,,,304.8679992675781,318.52332560221356,104.95033661248716,100.45103944904139,19.53970973526235,,6.117783291301146,300.79599914550784,-0.30999755859375,0.0,-0.31,,,,,0,1,1,1,0,0,0,104.36757815518709,29114.013671875,,,6775.98203125,6892.516764322917,102.6726465040757,100.93671609384074,4.367578155187083,,23.895984100762256,6777.585522460937,60.080078125,60.08,0.0,,,,,1,1,1,1,1,1,0,102.28250416726796,53287.890625,,,23463.459765625,23732.639322916668,101.77151783731809,100.6172082915653,2.2825041672679665,,44.81153008789227,23487.4427734375,91.669921875,91.67,0.0,,,,,1,1,1,1,0,1,0,0,0,1,1,1
2019-01-10,0.0,26.291666666666668,0.0,0.0,0.0,314.57000732421875,325.3699951171875,312.5,324.6600036621094,13472500.0,0.0,0.0,23811.109375,24014.779296875,23703.25,24001.919921875,338150000.0,6908.64990234375,6991.3701171875,6877.080078125,6986.06982421875,2179080000.0,16996,1939,18935,26.291666666666668,324.6600036621094,6986.06982421875,24001.919921875,81.22426218256692,-437700.0,71.30752429012578,-761900.0,21260.428571428572,19615.666666666668,89.0621745294746,96.52998453617006,-18.775737817433082,-28.69247570987422,-4.326022389764679,21148.035714285714,-1429.0,0.0,-1429.0,,,,,0,0,0,0,0,1,0,79.97465145754119,-658.3333333333333,120.65009560229444,450.0,25.952380952380953,25.63888888888889,101.30733944954129,102.54604550379199,-20.025348542458804,20.650095602294456,-3.9936708860759498,26.742559523809526,1.6666666666666679,1.67,0.0,,,,,1,0,1,1,1,1,0,119.71238534247091,5345.9991455078125,102.9555424089725,932.000732421875,315.55999755859375,321.62999471028644,102.88376415702878,100.9420790976141,19.712385342470903,2.95554240897252,6.072952778806892,309.8160003662109,4.70001220703125,4.7,0.0,,,,,1,1,1,1,0,1,0,108.08493578121374,52256.982421875,102.3829459828414,16259.9609375,6880.49599609375,6946.716634114583,101.5343926976331,100.56650058116531,8.084935781213739,2.3829459828414206,13.36868204103257,6828.503979492187,28.98974609375,28.99,0.0,,,,,1,1,1,1,0,0,0,105.79955223026091,131569.921875,101.9997591311657,47057.03125,23726.599609375,23889.49609375,101.1603867264284,100.47059941190813,5.799552230260917,1.9997591311656964,18.24271047654675,23598.0748046875,122.80078125,122.8,0.0,,,,,1,1,1,1,0,0,0,1,1,1,1,1
