date,Netflix. Inc,Netflix_x,Netflix Stock,Streaming media,Reed Hastings_x,Open,High,Low,Close,Volume,Dividends,Stock Splits,dow_open,dow_high,dow_low,dow_close,dow_vol,nas_open,nas_high,nas_low,nas_close,nas_vol,Netflix_y,Reed Hastings_y,Wiki_total,Google_total,Stock_total,Nas_total,Dow_total,Wiki_Moment_1,Wiki_Moment_2,Wiki_Moment_1_s,Wiki_Moment_2_s,Wiki_MAvg,Wiki_MAvg_s,Wiki_Disparity,Wiki_Disparity_s,Wiki_ROC,Wiki_ROC_s,Wiki_Rocp,Wiki_EMA,Wiki_diff,Wiki_gain,Wiki_loss,Wiki_avg_gain,Wiki_avg_loss,Wiki_rs,Wiki_RSI,Wiki_Move,Wiki_MAvg_Move,Wiki_MAvg_s_Move,Wiki_EMA_Move,Wiki_Disparity_Move,Wiki_Disparity_s_Move,Wiki_RSI_Move,Google_Moment_1,Google_Moment_2,Google_Moment_1_s,Google_Moment_2_s,Google_MAvg,Google_MAvg_s,Google_Disparity,Google_Disparity_s,Google_ROC,Google_ROC_s,Google_Rocp,Google_EMA,Google_diff,Google_gain,Google_loss,Google_avg_gain,Google_avg_loss,Google_rs,Google_RSI,Google_Move,Google_MAvg_Move,Google_MAvg_s_Move,Google_EMA_Move,Google_Disparity_Move,Google_Disparity_s_Move,Google_RSI_Move,Stock_Moment_1,Stock_Moment_2,Stock_Moment_1_s,Stock_Moment_2_s,Stock_MAvg,Stock_MAvg_s,Stock_Disparity,Stock_Disparity_s,Stock_ROC,Stock_ROC_s,Stock_Rocp,Stock_EMA,Stock_diff,Stock_gain,Stock_loss,Stock_avg_gain,Stock_avg_loss,Stock_rs,Stock_RSI,Stock_Move,Stock_MAvg_Move,Stock_MAvg_s_Move,Stock_EMA_Move,Stock_Disparity_Move,Stock_Disparity_s_Move,Stock_RSI_Move,Nas_Moment_1,Nas_Moment_2,Nas_Moment_1_s,Nas_Moment_2_s,Nas_MAvg,Nas_MAvg_s,Nas_Disparity,Nas_Disparity_s,Nas_ROC,Nas_ROC_s,Nas_Rocp,Nas_EMA,Nas_diff,Nas_gain,Nas_loss,Nas_avg_gain,Nas_avg_loss,Nas_rs,Nas_RSI,Nas_Move,Nas_MAvg_Move,Nas_MAvg_s_Move,Nas_EMA_Move,Nas_Disparity_Move,Nas_Disparity_s_Move,Nas_RSI_Move,Dow_Moment_1,Dow_Moment_2,Dow_Moment_1_s,Dow_Moment_2_s,Dow_MAvg,Dow_MAvg_s,Dow_Disparity,Dow_Disparity_s,Dow_ROC,Dow_ROC_s,Dow_Rocp,Dow_EMA,Dow_diff,Dow_gain,Dow_loss,Dow_avg_gain,Dow_avg_loss,Dow_rs,Dow_RSI,Dow_Move,Dow_MAvg_Move,Dow_MAvg_s_Move,Dow_EMA_Move,Dow_Disparity_Move,Dow_Disparity_s_Move,Dow_RSI_Move,target_1,target_2,target_3,target_4,target_5
2019-01-01,0.0,31.608695652173914,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,18853,2310,21163,31.608695652173914,,,,,,,,21163.0,21163.0,100.0,100.0,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,31.608695652173914,31.608695652173914,100.0,100.0,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-02,0.0,28.166666666666668,0.5,0.0,0.0,259.2799987792969,269.75,256.5799865722656,267.6600036621094,11679500.0,0.0,0.0,23058.609375,23413.470703125,22928.58984375,23346.240234375,321570000.0,6506.91015625,6693.7099609375,6506.8798828125,6665.93994140625,2261800000.0,22905,3146,26051,28.666666666666668,267.6600036621094,6665.93994140625,23346.240234375,,,,,23607.0,23607.0,110.35286143940357,110.35286143940357,,,,22792.333333333332,4888.0,4888.0,0.0,,,,,1,1,1,0,1,1,0,,,,,30.13768115942029,30.13768115942029,95.11901899495071,95.11901899495071,,,,30.6280193236715,-2.942028985507246,0.0,-2.94,,,,,0,0,0,0,0,0,0,,,,,267.6600036621094,267.6600036621094,100.0,100.0,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,6665.93994140625,6665.93994140625,100.0,100.0,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,23346.240234375,23346.240234375,100.0,100.0,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,1
2019-01-03,0.0,34.666666666666664,0.375,0.0,0.0,270.20001220703125,275.7900085449219,264.42999267578125,271.20001220703125,14969600.0,0.0,0.0,23176.390625,23176.390625,22638.41015625,22686.220703125,424240000.0,6584.77001953125,6600.2099609375,6457.1298828125,6463.5,2607290000.0,20646,2666,23312,35.041666666666664,271.20001220703125,6463.5,22686.220703125,,,,,23508.666666666668,23508.666666666668,99.163429089981,99.163429089981,,,,23508.666666666668,-2739.0,0.0,-2739.0,,,,,0,0,0,1,0,0,0,,,,,31.772342995169083,31.772342995169083,110.2898413000095,110.2898413000095,,,,31.77234299516908,6.3749999999999964,6.37,0.0,,,,,1,1,1,1,1,1,0,,,,,269.4300079345703,269.4300079345703,100.65694400042136,100.65694400042136,,,,268.8400065104167,3.540008544921875,3.54,0.0,,,,,1,1,1,0,1,1,0,,,,,6564.719970703125,6564.719970703125,98.45812203483398,98.45812203483398,,,,6598.4599609375,-202.43994140625,0.0,-202.44,,,,,0,0,0,0,0,0,0,,,,,23016.23046875,23016.23046875,98.56618673473457,98.56618673473457,,,,23126.233723958332,-660.01953125,0.0,-660.02,,,,,0,0,0,0,0,0,0,1,1,1,1,1
2019-01-04,0.0,31.0,0.0,0.0,0.375,281.8800048828125,297.79998779296875,278.5400085449219,297.57000732421875,19330100.0,0.0,0.0,22894.919921875,23518.640625,22894.919921875,23433.16015625,396020000.0,6567.14013671875,6760.68994140625,6554.240234375,6738.85986328125,2579550000.0,19040,2307,21347,31.375,297.57000732421875,6738.85986328125,23433.16015625,,,100.86944195057413,18400.0,22968.25,23570.0,92.9413429407987,90.56851930420025,,0.8694419505741152,,22788.111111111113,-1965.0,0.0,-1965.0,,,,,0,0,1,0,0,0,0,,,99.26066024759285,-23.369565217391397,31.673007246376812,31.694444444444446,99.05911287785626,98.99211218229622,,-0.7393397524071555,,31.639895330112722,-3.6666666666666643,0.0,-3.67,,,,,0,0,0,0,0,0,0,,,,,278.8100077311198,278.8100077311198,106.72859620275568,106.72859620275568,,,,278.8100077311198,26.3699951171875,26.37,0.0,,,,,1,1,1,1,1,1,0,,,,,6622.7666015625,6622.7666015625,101.75294206640713,101.75294206640713,,,,6622.7666015625,275.35986328125,275.36,0.0,,,,,1,1,1,1,1,1,0,,,,,23155.20703125,23155.20703125,101.20039144813033,101.20039144813033,,,,23155.20703125,746.939453125,746.94,0.0,,,,,1,1,1,1,1,1,0,0,0,0,0,0
2019-01-05,0.0,34.208333333333336,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,19227,2021,21248,34.208333333333336,,,,,,81.5630877893363,-480300.0,22624.2,21969.0,93.91713298149769,96.71810278119169,,-18.436912210663696,,22394.833333333332,-99.0,0.0,-99.0,,,,,0,0,0,0,1,1,0,,,119.3313953488372,554.1666666666667,32.18007246376812,33.541666666666664,106.30284742785727,101.98757763975156,,19.331395348837212,,32.518115942028984,2.8333333333333357,2.83,0.0,,,,,1,1,1,1,1,1,0,,,,,278.8100077311198,284.385009765625,,,,,,,,,,,,,,0,0,1,0,0,0,0,,,,,6622.7666015625,6601.179931640625,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,23155.20703125,23059.6904296875,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-06,0.0,24.791666666666668,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,18771,2056,20827,24.791666666666668,,,,98.41232339460379,-33600.0,89.34025394646534,-248500.0,22557.0,21140.666666666668,92.3305404087423,98.51628772350288,-1.5876766053962104,-10.659746053534661,-61.98511904761905,22025.133333333335,-421.0,0.0,-421.0,,,,,0,0,0,0,0,1,0,78.43305823016965,-681.7028985507246,70.74910820451844,-1024.9999999999995,30.81666666666667,30.125000000000004,80.44889129259059,82.29598893499308,-21.566941769830354,-29.25089179548156,-3.6367260164762163,29.71727053140097,-9.416666666666668,0.0,-9.42,,,,,0,0,0,0,0,0,0,,,,,278.8100077311198,297.57000732421875,,,,,,,,,,,,,,0,0,1,0,0,0,0,,,,,6622.7666015625,6738.85986328125,,,,,,,,,,,,,,0,0,1,0,0,0,0,,,,,23155.20703125,23433.16015625,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0
2019-01-07,0.0,23.416666666666668,0.3333333333333333,0.0,0.0,302.1000061035156,316.79998779296875,301.6499938964844,315.3399963378906,18620100.0,0.0,0.0,23474.259765625,23687.740234375,23301.58984375,23531.349609375,334200000.0,6757.52978515625,6855.60009765625,6741.39990234375,6823.47021484375,2507550000.0,21693,4861,26554,23.75,315.3399963378906,6823.47021484375,23531.349609375,101.93082799124792,50300.0,124.39218625567996,520700.0,22657.6,22876.333333333332,117.1968787515006,116.07629427792916,1.9308279912479367,24.392186255679952,52.791252485089466,23889.333333333332,5727.0,5727.0,0.0,,,,,1,1,1,1,1,1,0,82.84883720930232,-491.6666666666668,75.69721115537848,-762.5,29.833333333333336,27.58333333333334,79.60893854748603,86.10271903323262,-17.151162790697676,-24.302788844621514,-4.83050847457627,28.461111111111112,-1.0416666666666679,0.0,-1.04,,,,,0,0,0,0,0,1,0,117.81364119533222,4767.999267578125,105.97170029784301,1776.9989013671875,294.7033386230469,315.3399963378906,107.00251914731105,100.0,17.813641195332224,5.9717002978430225,6.613675435778026,290.9866706000434,,,,,,,,0,1,1,0,0,0,0,102.36321171240957,15753.02734375,101.25555885237392,8461.03515625,6675.276692708333,6823.47021484375,102.22003564732071,100.0,2.363211712409568,1.2555588523739085,43.31529467922212,6689.667805989583,,,,,,,,0,1,1,0,0,0,0,100.79288730494362,18510.9375,100.4190192550654,9818.9453125,23216.91015625,23531.349609375,101.35435529968811,100.0,0.7928873049436242,0.41901925506539633,127.12132818435047,23280.587890625,,,,,,,,0,1,1,0,0,0,0,1,1,1,1,0
2019-01-08,0.0,26.083333333333332,1.375,0.0,0.0,319.9800109863281,320.5899963378906,308.010009765625,320.2699890136719,15359200.0,0.0,0.0,23680.3203125,23864.650390625,23581.44921875,23787.44921875,317420000.0,6893.43994140625,6909.580078125,6795.85986328125,6897.0,2380290000.0,17369,2179,19548,27.458333333333332,320.2699890136719,6897.0,23787.44921875,83.8538091969801,-376400.0,91.9992469879518,-170000.0,21904.8,22309.666666666668,89.24071436397503,87.62121053653871,-16.146190803019906,-8.000753012048193,-5.193411264612115,21621.066666666666,-7006.0,0.0,-7006.0,,,,,0,0,0,0,0,0,0,78.35909631391202,-758.3333333333333,80.26796589524969,-675.0000000000003,28.31666666666667,25.333333333333332,96.96880517951735,108.38815789473684,-21.640903686087988,-19.732034104750312,-3.620879120879121,29.041666666666668,3.708333333333332,3.71,0.0,,,,,1,0,0,1,1,1,0,118.09364845056906,4906.9976806640625,,,311.05999755859375,317.80499267578125,102.96084084336279,100.775631722188,18.093648450569063,,6.52680131225026,303.2255554199219,4.92999267578125,4.93,0.0,,,,,1,1,1,1,0,1,0,106.70689255047574,43350.0,,,6819.776692708333,6860.235107421875,101.13234363486174,100.53591301176179,6.706892550475748,,15.910034602076125,6749.184461805556,73.52978515625,73.53,0.0,,,,,1,1,1,1,0,1,0,104.85417350926727,110122.8515625,,,23583.986328125,23659.3994140625,100.86271628466118,100.54122170409529,4.854173509267266,,21.60082932945982,23407.08984375,256.099609375,256.1,0.0,,,,,1,1,1,1,0,1,0,0,0,0,0,0
2019-01-09,0.0,24.833333333333332,0.0,0.0,0.0,317.7099914550781,323.3500061035156,313.5,319.9599914550781,13343200.0,0.0,0.0,23844.26953125,24084.7109375,23703.16015625,23879.119140625,324570000.0,6923.06005859375,6985.22021484375,6899.56005859375,6957.080078125,2422590000.0,18310,2054,20364,24.833333333333332,319.9599914550781,6957.080078125,23879.119140625,95.39513749004544,-98300.0,97.77692418495224,-46300.0,21708.2,22155.333333333332,93.80786983720438,91.9146631360395,-4.60486250995456,-2.2230758150477743,-20.71617497456765,21391.2,816.0,816.0,0.0,,,,,1,0,0,0,1,1,0,79.15006640106242,-654.1666666666667,100.16806722689076,4.16666666666643,27.008333333333333,25.347222222222225,91.94692995988892,97.97260273972601,-20.849933598937586,0.16806722689074674,-3.796178343949044,27.15555555555556,-2.625,0.0,-2.62,,,,,0,0,1,0,0,0,0,107.5242744832359,2238.9984130859375,,,318.52332560221356,318.52332560221356,100.45103944904139,100.45103944904139,7.524274483235895,,14.290317920059973,314.0266621907552,-0.30999755859375,0.0,-0.31,,,,,0,1,1,1,0,0,0,103.23823642679959,21822.021484375,,,6892.516764322917,6892.516764322917,100.93671609384074,100.93671609384074,3.238236426799583,,31.881006455366233,6865.544487847222,60.080078125,60.08,0.0,,,,,1,1,1,1,0,1,0,101.90311072600275,44595.8984375,,,23732.639322916668,23732.639322916668,100.6172082915653,100.6172082915653,1.9031107260027647,,53.545550100511974,23682.363932291668,91.669921875,91.67,0.0,,,,,1,1,1,1,0,1,0,0,0,1,1,1
2019-01-10,0.0,26.625,0.0,0.0,0.0,314.57000732421875,325.3699951171875,312.5,324.6600036621094,13472500.0,0.0,0.0,23811.109375,24014.779296875,23703.25,24001.919921875,338150000.0,6908.64990234375,6991.3701171875,6877.080078125,6986.06982421875,2179080000.0,16996,1939,18935,26.625,324.6600036621094,6986.06982421875,24001.919921875,89.11426957831326,-231300.0,71.30752429012578,-761900.0,21245.6,19615.666666666668,89.12433633317018,96.52998453617006,-10.885730421686747,-28.69247570987422,-8.186338089061824,20783.8,-1429.0,0.0,-1429.0,,,,,0,0,0,0,0,1,0,77.83191230207063,-758.3333333333336,112.10526315789473,287.5,25.491666666666667,26.305555555555557,104.44589735207583,101.21436114044351,-22.16808769792936,12.105263157894736,-3.5109890109890096,26.880555555555556,1.7916666666666679,1.79,0.0,,,,,1,0,1,0,1,1,0,,,102.9555424089725,932.000732421875,320.0574951171875,321.62999471028644,101.43802554701513,100.9420790976141,,2.95554240897252,,320.56888495551215,4.70001220703125,4.7,0.0,,,,,1,1,1,1,1,1,0,,,102.3829459828414,16259.9609375,6915.905029296875,6946.716634114583,101.01454248756521,100.56650058116531,,2.3829459828414206,,6923.701117621528,28.98974609375,28.99,0.0,,,,,1,1,1,1,1,0,0,,,101.9997591311657,47057.03125,23799.95947265625,23889.49609375,100.84857476102336,100.47059941190813,,1.9997591311656964,,23822.399522569445,122.80078125,122.8,0.0,,,,,1,1,1,1,1,0,0,1,1,1,1,1
