date,Netflix. Inc,Netflix_x,Netflix Stock,Streaming media,Reed Hastings_x,Open,High,Low,Close,Volume,Dividends,Stock Splits,dow_open,dow_high,dow_low,dow_close,dow_vol,nas_open,nas_high,nas_low,nas_close,nas_vol,Netflix_y,Reed Hastings_y,Wiki_total,Google_total,Stock_total,Nas_total,Dow_total,Wiki_Moment_1,Wiki_Moment_2,Wiki_Moment_1_s,Wiki_Moment_2_s,Wiki_MAvg,Wiki_MAvg_s,Wiki_Disparity,Wiki_Disparity_s,Wiki_ROC,Wiki_ROC_s,Wiki_Rocp,Wiki_EMA,Wiki_diff,Wiki_gain,Wiki_loss,Wiki_avg_gain,Wiki_avg_loss,Wiki_rs,Wiki_RSI,Wiki_Move,Wiki_MAvg_Move,Wiki_MAvg_s_Move,Wiki_EMA_Move,Wiki_Disparity_Move,Wiki_Disparity_s_Move,Wiki_RSI_Move,Google_Moment_1,Google_Moment_2,Google_Moment_1_s,Google_Moment_2_s,Google_MAvg,Google_MAvg_s,Google_Disparity,Google_Disparity_s,Google_ROC,Google_ROC_s,Google_Rocp,Google_EMA,Google_diff,Google_gain,Google_loss,Google_avg_gain,Google_avg_loss,Google_rs,Google_RSI,Google_Move,Google_MAvg_Move,Google_MAvg_s_Move,Google_EMA_Move,Google_Disparity_Move,Google_Disparity_s_Move,Google_RSI_Move,Stock_Moment_1,Stock_Moment_2,Stock_Moment_1_s,Stock_Moment_2_s,Stock_MAvg,Stock_MAvg_s,Stock_Disparity,Stock_Disparity_s,Stock_ROC,Stock_ROC_s,Stock_Rocp,Stock_EMA,Stock_diff,Stock_gain,Stock_loss,Stock_avg_gain,Stock_avg_loss,Stock_rs,Stock_RSI,Stock_Move,Stock_MAvg_Move,Stock_MAvg_s_Move,Stock_EMA_Move,Stock_Disparity_Move,Stock_Disparity_s_Move,Stock_RSI_Move,Nas_Moment_1,Nas_Moment_2,Nas_Moment_1_s,Nas_Moment_2_s,Nas_MAvg,Nas_MAvg_s,Nas_Disparity,Nas_Disparity_s,Nas_ROC,Nas_ROC_s,Nas_Rocp,Nas_EMA,Nas_diff,Nas_gain,Nas_loss,Nas_avg_gain,Nas_avg_loss,Nas_rs,Nas_RSI,Nas_Move,Nas_MAvg_Move,Nas_MAvg_s_Move,Nas_EMA_Move,Nas_Disparity_Move,Nas_Disparity_s_Move,Nas_RSI_Move,Dow_Moment_1,Dow_Moment_2,Dow_Moment_1_s,Dow_Moment_2_s,Dow_MAvg,Dow_MAvg_s,Dow_Disparity,Dow_Disparity_s,Dow_ROC,Dow_ROC_s,Dow_Rocp,Dow_EMA,Dow_diff,Dow_gain,Dow_loss,Dow_avg_gain,Dow_avg_loss,Dow_rs,Dow_RSI,Dow_Move,Dow_MAvg_Move,Dow_MAvg_s_Move,Dow_EMA_Move,Dow_Disparity_Move,Dow_Disparity_s_Move,Dow_RSI_Move,target_1,target_2,target_3,target_4,target_5
1/23/2019,0,25.66666667,0.708333333,0,0,328.25,331.75,318.6000061,321.9899902,13480100,0,0,24577.25,24700.98047,24307.16992,24575.61914,318600000,7061.649902,7084.850098,6953.22998,7025.77002,2274420000,17145,2020,19165,26.375,321.9899902,7025.77002,24575.61914,78.63209289,-520800,92.15271433,-163200,19589,19589,97.83551993,97.83551993,-21.36790711,-7.847285666,-3.679915515,20936.33333,-848,0,-848,1021.071429,-1512.928571,-0.674897314,-207.5951205,0,0,0,0,1,0,0,106.3865546,158.3333333,76.72727273,-800,24.04166667,24.04166667,109.7053726,109.7053726,6.386554622,-23.27272727,16.65789474,24.125,4.666666667,4.67,0,2.277142857,-2.439285714,-0.933528551,-1404.405286,1,1,1,0,1,1,0,90.79347421,-3265.002441,91.16622441,-3120.001221,323.5749969,323.5749969,99.51015785,99.51015785,-9.206525791,-8.833775586,-9.861860627,328.75,-3.170013428,0,-3.17,6.695714286,-2.815,-2.378584116,172.5381925,0,0,0,0,1,0,0,100.0276194,193.9941406,99.17156789,-5868.994141,7023.064941,7023.064941,100.0385171,100.0385171,0.027619424,-0.828432114,3621.640322,7067.786621,5.41015625,5.41,0,55.66357143,-29.96142857,-1.857841034,216.5717144,1,0,1,1,1,1,0,102.1193301,51002.92969,100.8433266,20551.95313,24490.0498,24490.0498,100.3494045,100.3494045,2.119330131,0.843326595,48.18472055,24562.14974,171.1386719,171.14,0,163.0964286,-75.28357143,-2.166427887,185.7318323,1,0,1,1,1,1,0,0,0,1,0,0
1/24/2019,0,24.375,0.5,0,0,320.6000061,331.7999878,319,326.6700134,11131600,0,0,24579.96094,24626.30078,24422.73047,24553.24023,320170000,7042.25,7078.959961,7029.950195,7073.459961,2400290000,15315,1810,17125,24.875,326.6700134,7073.459961,24553.24023,73.5704773,-615200,72.46836782,-650600,18767.66667,18767.66667,91.24735804,91.24735804,-26.4295227,-27.53163218,-2.783647594,18767.66667,-2040,0,-2040,1021.071429,-1463,-0.69792989,-231.0489737,0,0,0,0,0,0,0,90.59180577,-258.3333333,102.4013722,58.33333333,24.31944444,24.31944444,102.2844089,102.2844089,-9.408194234,2.401372213,-9.629032258,24.31944444,-1.5,0,-1.5,1.822142857,-2.546428571,-0.715568022,-251.5779093,0,1,1,1,0,0,1,92.96508148,-2472.000122,96.33441685,-1242.999268,324.6066691,324.6066691,100.6356445,100.6356445,-7.034918521,-3.665583147,-13.21480572,324.6066691,4.680023193,4.68,0,6.777142857,-2.815,-2.407510784,171.047413,1,1,1,0,1,1,0,100.5511262,3877.001953,98.82957485,-8377.001953,7039.863281,7039.863281,100.4772348,100.4772348,0.551126202,-1.170425147,182.4466442,7039.863281,47.68994141,47.69,0,59.07,-15.50142857,-3.810616533,135.5793823,1,1,1,0,1,1,0,101.42966,34608.00781,99.3802833,-15310.9375,24511.11328,24511.11328,100.1718688,100.1718688,1.429659968,-0.619716702,70.94670218,24511.11328,-22.37890625,0,-22.38,163.0964286,-29.73785714,-5.484471453,122.2991719,0,1,1,0,0,0,0,1,1,1,1,1
1/25/2019,0,19.125,0,0,0,328.7200012,340,328.5100098,338.0499878,11152900,0,0,24687.21094,24860.15039,24676.75,24737.19922,376890000,7128.180176,7174.560059,7111.089844,7164.859863,2440840000,15137,1695,16832,19.125,338.0499878,7164.859863,24737.19922,80.9347502,-396500,84.10533153,-318100,18283.75,17707.33333,92.05988925,95.05666202,-19.0652498,-15.89466847,-4.245145019,18122.44444,-293,0,-293,1021.071429,-1343.571429,-0.759968102,-316.6112957,0,0,0,0,1,1,0,55.63636364,-1525,88.09980806,-258.3333333,23.02083333,23.45833333,83.07692308,81.52753108,-44.36363636,-11.90019194,-1.254098361,22.58796296,-5.75,0,-5.75,1.822142857,-2.695,-0.676119799,-208.7561375,0,0,0,0,0,0,1,95.7133513,-1514.001465,103.9641973,1288.998413,327.9674988,328.9033305,103.0742342,102.7809561,-4.2866487,3.964197314,-22.32824708,329.0877753,11.37997437,11.38,0,5.706428571,-2.815,-2.027150469,197.3567194,1,1,1,1,1,1,1,101.1348769,8039.990234,102.058299,14450,7071.112427,7088.029948,101.3257806,101.0839389,1.134876939,2.058299045,89.11528067,7081.528809,91.39990234,91.4,0,45.93,-15.50142857,-2.962952723,150.943662,1,1,1,1,1,1,1,101.5063525,36709.96094,101.3633511,33271.875,24567.63477,24622.01953,100.6901945,100.4677914,1.506352519,1.363351088,67.38552313,24586.47526,183.9589844,183.96,0,122.8835714,-29.73785714,-4.132226839,131.9261679,1,1,1,1,1,1,1,0,1,0,1,0
1/28/2019,0,23.04166667,0.541666667,0,0,334.7000122,336.2999878,328.8800049,335.6600037,8652100,0,0,24596.98047,24596.98047,24323.93945,24528.2207,347170000,7075.009766,7086.299805,7034.25,7085.680176,2435480000,15930,1784,17714,23.58333333,335.6600037,7085.680176,24528.2207,74.9608565,-591700,92.42890686,-145100,17223.66667,17714,102.846858,100,-25.0391435,-7.571093139,-2.993746831,18093.83333,882,882,0,712.1428571,-1343.571429,-0.530037214,-112.7828054,1,0,1,0,1,1,1,97.08404803,-70.83333333,89.41548183,-279.1666667,22.52777778,23.58333333,104.6855734,100,-2.915951973,-10.58451817,-33.29411765,23.20833333,4.458333333,4.46,0,2.140714286,-2.150714286,-0.995350382,-21407.14286,1,0,1,1,1,1,0,98.98554928,-344.0002441,104.2454778,1367.001343,333.4600016,335.6600037,100.6597499,100,-1.014450716,4.245477761,-97.57551321,330.5316671,-2.389984131,0,-2.39,4.437142857,-2.985714286,-1.486124402,305.7086614,0,1,1,1,0,0,1,99.0003143,-7154.980469,100.8527201,5991.015625,7108,7085.680176,99.68599009,100,-0.999685701,0.852720144,-99.0314398,7075.968343,-79.1796875,0,-79.18,39.88642857,-21.15714286,-1.885246455,212.9628923,0,1,0,0,0,0,1,99.27901568,-17812.89063,99.80713228,-4739.84375,24606.22005,24528.2207,99.68300963,100,-0.720984318,-0.192867725,-137.6992719,24554.49674,-208.9785156,0,-208.98,115.87,-44.665,-2.594201276,162.7273366,0,1,0,0,0,0,1,1,1,0,0,0
1/29/2019,0,22.95833333,0,0,0,335.8699951,338.2200012,328.1499939,328.8999939,7655200,0,0,24519.61914,24674.86914,24504.03906,24579.96094,330870000,7087.490234,7092.290039,7011.470215,7028.290039,2089690000,14901,1920,16821,22.95833333,328.8999939,7028.290039,24579.96094,84.05036726,-319200,98.22481752,-30400,17122.33333,17267.5,98.24011525,97.41421746,-15.94963274,-1.775182482,-5.269736842,17089.44444,-893,0,-893,712.1428571,-906.9285714,-0.785224856,-365.603227,0,0,0,0,0,0,0,105.7581574,125,92.29480737,-191.6666667,21.88888889,23.27083333,104.8857868,98.65711728,5.75815739,-7.70519263,18.36666667,22.6712963,-0.625,0,-0.63,1.875714286,-2.195714286,-0.854261548,-586.1607143,0,0,0,0,1,0,1,101.1502,373.9990234,100.6826401,222.9980469,334.2033285,332.2799988,98.41314131,98.98278413,1.150199961,0.682640088,87.94140447,331.9399991,-6.760009766,0,-6.76,4.085,-3.468571429,-1.177718287,662.6882966,0,1,0,1,0,0,1,100.1129597,793.0175781,99.36141687,-4516.992188,7092.943359,7056.985107,99.08848391,99.59338063,0.112959676,-0.638583128,886.2716581,7081.430013,-57.39013672,0,-57.39,34.63428571,-25.25642857,-1.37130575,369.3198263,0,0,0,1,0,0,1,100.7190502,17548.04688,100.1088276,2672.070313,24615.12695,24554.09082,99.85713657,100.1053597,0.719050213,0.108827604,140.072346,24597.46701,51.74023438,51.74,0,101.2728571,-44.665,-2.267387376,178.9024744,1,1,1,1,1,1,1,1,0,1,1,1
1/30/2019,0,24.125,0.375,0,0,332.75,341.7799988,330.7999878,340.6600037,9234500,0,0,24826.51953,25109.61914,24790.90039,25014.85938,397330000,7094.790039,7201.310059,7065.569824,7183.080078,2544050000,14482,1667,16149,24.5,340.6600037,7183.080078,25014.85938,84.26297939,-301600,95.94225285,-68300,16894.66667,16894.66667,95.58637834,95.58637834,-15.73702061,-4.057747148,-5.354442971,16797.88889,-672,0,-672,653.8571429,-954.9285714,-0.684718378,-217.1767497,0,0,0,0,0,0,1,92.89099526,-187.5,128.1045752,537.5,23.68055556,23.68055556,103.4604106,103.4604106,-7.109004739,28.10457516,-13.06666667,22.75925926,1.541666667,1.54,0,1.985714286,-2.008571429,-0.988620199,-8687.5,1,1,1,1,0,1,0,105.7983211,1867.001343,100.7720799,261.0015869,335.0733337,335.0733337,101.6672977,101.6672977,5.798321064,0.772079859,18.24637165,336.3555535,11.76000977,11.76,0,4.925,-3.446428571,-1.429015544,333.0917874,1,1,1,1,1,1,0,102.2390437,15731.00586,100.2542997,1822.021484,7099.016764,7099.016764,101.1841543,101.1841543,2.239043666,0.254299668,45.66192488,7122.988932,154.7900391,154.79,0,41.39928571,-25.25642857,-1.639158347,256.4557522,1,1,1,1,1,1,0,101.7873008,43924.02344,101.1224397,27766.01563,24707.68034,24707.68034,101.2432532,101.2432532,1.787300787,1.122439747,56.95029147,24748.37109,434.8984375,434.9,0,125.7892857,-44.665,-2.816283124,155.0574956,1,1,1,1,1,1,0,0,1,0,1,0
1/31/2019,0,18.29166667,0.583333333,0,0,339.6799927,345.9899902,338.0899963,339.5,8535500,0,0,24954.48047,25049.61914,24842.08984,24999.66992,507350000,7208.169922,7303.120117,7205.950195,7281.740234,2918710000,13622,1486,15108,18.875,339.5,7281.740234,24999.66992,88.22189781,-201700,85.28847239,-260600,16448,16026,91.85311284,94.27180831,-11.77810219,-14.71152761,-7.490332176,16299.11111,-1041,0,-1041,653.8571429,-927.2142857,-0.7051845,-239.1951921,0,0,0,0,0,0,0,75.87939698,-600,80.03533569,-470.8333333,22.47916667,22.11111111,83.96663577,85.36432161,-24.12060302,-19.96466431,-3.145833333,22.0787037,-5.625,0,-5.62,1.857857143,-2.41,-0.77089508,-336.4812419,0,0,0,0,0,0,1,103.9275067,1282.998657,101.1440137,383.9996338,336.1800003,336.3533325,100.9875661,100.9355244,3.927506672,1.144013673,26.46144624,336.5488892,-1.160003662,0,-1.16,4.589285714,-3.529285714,-1.30034406,432.9514825,0,1,1,1,0,0,1,102.9445317,20828.02734,102.76699,19606.00586,7144.697632,7164.370117,101.9181022,101.6382475,2.944531737,2.766989953,34.96125732,7159.924588,98.66015625,98.66,0,46.37571429,-25.25642857,-1.836194463,219.5894071,1,1,1,1,1,1,0,101.8182109,44642.96875,101.9220686,47144.92188,24780.67773,24864.83008,100.8837215,100.5422914,1.818210889,1.922068561,55.99912063,24805.0102,-15.18945313,0,-15.19,117.0178571,-45.75,-2.557767369,164.1944375,0,1,1,1,0,0,1,0,0,1,1,1
2/1/2019,0,24.04166667,0.583333333,0,0,337.1799927,346.8399963,336.5,339.8500061,9827800,0,0,25025.31055,25193.15039,24982.49023,25063.89063,372090000,7256.370117,7299.939941,7243.410156,7263.870117,2383430000,14115,1499,15614,24.625,339.8500061,7263.870117,25063.89063,92.76378327,-121800,92.82444563,-120700,16281.2,15623.66667,95.90202196,99.93812805,-7.23621673,-7.175554367,-12.81937603,16170,506,506,0,678,-927.2142857,-0.731222556,-272.0550301,1,0,0,0,1,1,0,128.7581699,550,107.2595281,166.6666667,22.90833333,22.66666667,107.493634,108.6397059,28.75816993,7.259528131,4.477272727,23.19444444,5.75,5.75,0,2.268571429,-2.19,-1.035877365,2887.272727,1,1,1,1,1,1,1,100.532471,180.0018311,103.3292832,1095.001221,336.9140015,340.0033366,100.8714404,99.95490324,0.532471047,3.329283189,188.8036383,337.4033356,0.350006104,0.35,0,3.690714286,-3.529285714,-1.045739729,2286.283186,1,1,1,1,0,0,1,101.3818868,9901.025391,103.3518833,23558.00781,7168.532129,7242.89681,101.3299513,100.2895707,1.381886817,3.351883272,73.36482668,7184.421794,-17.87011719,0,-17.87,46.37571429,-25.49071429,-1.819317959,222.0527378,0,1,1,1,0,0,1,101.3206483,32669.14063,101.9687976,48392.96875,24837.32031,25026.13997,100.9122172,100.1508449,1.320648321,1.968797626,76.72038549,24875.08203,64.22070313,64.22,0,121.605,-45.32357143,-2.683040991,159.4162593,1,1,1,1,1,0,0,1,1,1,1,0
2/4/2019,0,28.45833333,0.375,0,0,342.6000061,352,341.2999878,351.3399963,9051400,0,0,25062.11914,25239.91016,24977.66992,25239.36914,298540000,7266.279785,7348.22998,7261.069824,7347.540039,2099470000,15602,1724,17326,28.83333333,351.3399963,7347.540039,25239.36914,97.80964209,-38800,107.288377,117700,16016,17326,108.1793207,100,-2.190357909,7.288376989,-44.65463918,16629.46667,1712,1712,0,754.8571429,-927.2142857,-0.814112934,-437.9610443,1,0,1,1,1,1,0,122.2614841,525,117.6870748,433.3333333,24.11111111,28.83333333,119.5852535,100,22.2614841,17.68707483,5.492063492,24.88333333,4.208333333,4.21,0,2.158571429,-2.19,-0.985649054,-6868.181818,1,1,1,1,1,0,0,104.6713914,1567.999268,103.1350885,1067.999268,343.5633341,351.3399963,102.2635309,100,4.671391439,3.135088523,22.40689799,341.7226664,11.48999023,11.49,0,4.511428571,-3.197142857,-1.411081323,343.2608696,1,1,1,1,1,1,0,103.6956207,26185.98633,102.2895465,16445.99609,7297.716797,7347.540039,100.6827237,100,3.6956207,2.289546534,28.05905398,7228.201432,83.66992188,83.67,0,52.35214286,-20.80785714,-2.515979541,165.9639509,1,1,1,1,0,0,0,102.8993071,71114.84375,100.8975056,22450.97656,25100.97656,25239.36914,100.5513434,100,2.899307072,0.897505608,35.49099992,24971.33659,175.4785156,175.48,0,134.1392857,-39.17285714,-3.424291601,141.2491632,1,1,1,1,0,0,0,1,1,1,1,0
2/5/2019,0,22.79166667,0,0,0,353.2000122,360,352.8999939,355.8099976,9046600,0,0,25287.92969,25427.32031,25287.65039,25411.51953,310650000,7356.339844,7408.680176,7355.359863,7402.080078,2265520000,14935,1725,16660,22.79166667,355.8099976,7402.080078,25411.51953,99.04286309,-16100,110.2727032,155200,16533.33333,16993,100.766129,98.04036956,-0.957136912,10.2727032,-103.4782609,16230.66667,-666,0,-666,423.8571429,-974.7857143,-0.43482084,-76.93504473,0,1,0,0,0,0,1,99.27404719,-16.66666667,120.7505519,391.6666667,25.41666667,25.8125,89.67213115,88.29701372,-0.725952813,20.75055188,-136.75,23.6712963,-6.041666667,0,-6.04,2.158571429,-2.3,-0.938509317,-1526.262626,0,1,0,0,0,0,1,108.1818194,2691.000366,104.804123,1630.999756,349,353.5749969,101.9512887,100.632115,8.181819447,4.804122992,13.22222033,347.6455553,4.470001221,4.47,0,3.280714286,-3.197142857,-1.02613941,3925.641026,1,1,1,1,0,1,1,105.3183639,37379.00391,101.6526248,12033.98438,7337.830078,7374.810059,100.8755995,100.3697725,5.318363883,1.652624783,19.8027751,7332.504557,54.54003906,54.54,0,47.82571429,-20.80785714,-2.298444956,177.0152016,1,1,1,1,1,1,1,103.3830753,83155.85938,101.6474202,41184.96094,25238.25977,25325.44434,100.6864965,100.3398763,3.383075327,1.647420189,30.55890435,25204.49089,172.1503906,172.15,0,135.3107143,-39.17285714,-3.454195689,140.746547,1,1,1,1,1,1,0,1,1,0,0,0
