date,Ford,F-150,Ford Bronco_x,Ford Mustang_x,Ford Stock,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ford Motor Company,Ford Mustang_y,Ford F Series,Ford Bronco_y,Lincoln Navigator,Lincoln Aviator,Ford GT
2022-01-01,22.608695652173914,0.0,0.0,0.782608695652174,0.8260869565217391,,,,,,,,4021,2469,4.0,1429,426,547,1003
2022-01-02,27.5,0.6666666666666666,0.6666666666666666,1.0,0.0,,,,,,,,4510,2750,11.0,1516,494,566,1170
2022-01-03,40.458333333333336,0.0,0.625,0.8333333333333334,1.25,21.021338754898117,21.624206131480268,20.813792826692527,21.515493392944336,110449000.0,0.0,0.0,6966,2458,5.0,1332,436,333,1135
2022-01-04,35.041666666666664,0.5833333333333334,2.4166666666666665,0.8333333333333334,3.7083333333333335,22.25672787988993,24.272878052063934,22.157896564036665,24.025800704956055,311645200.0,0.0,0.0,5893,2593,8.0,1320,553,375,1103
2022-01-05,21.041666666666668,0.0,0.0,1.2916666666666667,0.625,23.778721401874535,24.658317967059723,23.19561875986035,23.383398056030273,253540000.0,0.0,0.0,6230,2461,6.0,1296,482,370,1083
2022-01-06,26.333333333333332,0.0,0.0,1.3333333333333333,0.5833333333333334,23.80837216240346,24.332176791463628,23.086906796282257,24.17404556274414,155058800.0,0.0,0.0,5228,2462,3.0,1340,465,377,1160
2022-01-07,20.25,0.0,1.0833333333333333,1.3333333333333333,0.0,24.381590394406068,24.618784399110478,23.75895636768829,24.154279708862305,127017500.0,0.0,0.0,5070,2626,2.0,1393,524,384,979
2022-01-08,22.791666666666668,0.0,2.125,2.875,0.0,,,,,,,,4763,2532,3.0,1363,493,393,1173
2022-01-09,18.416666666666668,0.0,0.7916666666666666,0.0,0.0,,,,,,,,5063,2659,8.0,1445,482,420,1233
2022-01-10,27.083333333333332,0.75,3.0,1.9166666666666667,1.4583333333333333,23.818255774426774,24.15428110511138,23.077023759984346,23.571178436279297,122800700.0,0.0,0.0,5246,2586,5.0,1339,449,391,1029
2022-01-11,31.291666666666668,0.0,0.7083333333333334,0.7083333333333334,0.6666666666666666,23.501996399734182,24.065332412719727,23.00784173780996,24.065332412719727,106011600.0,0.0,0.0,5370,2614,9.0,1319,480,404,1087
2022-01-12,35.875,0.0,1.6666666666666667,0.7083333333333334,0.0,24.322294036067316,24.549604737233242,23.729308041027522,24.183929443359375,104050000.0,0.0,0.0,4864,2470,3.0,1388,533,365,1130
2022-01-13,28.75,0.0,1.0833333333333333,0.0,1.7916666666666667,24.35194042052846,25.567562285764392,24.08509834357215,24.72749900817871,185780500.0,0.0,0.0,5175,2567,6.0,1345,598,390,1240
2022-01-14,32.416666666666664,0.0,0.7083333333333334,0.75,2.125,24.183927729555975,24.984459614402425,24.015915074285157,24.895511627197266,146012200.0,0.0,0.0,7395,2753,5.0,1468,505,389,1285
2022-01-15,14.0,0.0,0.0,0.0,0.0,,,,,,,,4768,2699,7.0,1495,492,449,1694
2022-01-16,21.75,0.0,0.5833333333333334,0.0,1.5416666666666667,,,,,,,,4751,2798,7.0,1490,567,449,1456
2022-01-17,17.125,0.0,0.0,0.0,0.5416666666666666,,,,,,,,4726,2613,8.0,1490,530,409,1168
2022-01-18,19.125,0.0,0.75,0.75,1.25,24.579253462451344,24.836212225182674,24.015915570169966,24.094980239868164,110518100.0,0.0,0.0,5248,2643,5.0,1470,476,412,1176
2022-01-19,13.083333333333334,0.5,0.0,2.2916666666666665,1.0416666666666667,24.36182522659138,24.628669204884734,22.14801249733832,22.187545776367188,153198200.0,0.0,0.0,5001,2664,4.0,1365,518,377,1225
2022-01-20,19.791666666666668,0.0,0.5833333333333334,0.0,1.0833333333333333,21.62420705308161,22.612516371294763,21.31783169224965,21.396896362304688,152014100.0,0.0,0.0,4895,2649,4.0,1362,616,439,1219
2022-01-21,17.166666666666668,0.0,0.7916666666666666,0.0,1.9583333333333333,20.962039177761707,21.24864977725585,20.299873761793258,20.408586502075195,145532900.0,0.0,0.0,4770,2560,4.0,1431,647,407,1212
2022-01-22,26.333333333333332,0.0,0.9583333333333334,0.0,0.0,,,,,,,,4465,2610,5.0,1454,672,536,1258
2022-01-23,28.041666666666668,0.0,1.2083333333333333,1.625,0.875,,,,,,,,4808,2665,3.0,1501,636,597,1225
2022-01-24,30.583333333333332,0.0,0.625,1.6666666666666667,3.6666666666666665,19.697005201034013,20.23069125772148,18.58021460519747,20.151626586914062,186674000.0,0.0,0.0,4970,2628,7.0,2125,595,467,1225
2022-01-25,36.083333333333336,0.0,0.75,0.9583333333333334,0.8333333333333334,19.76618654557389,20.072561909216162,19.33132991375714,19.74641990661621,116775800.0,0.0,0.0,4965,2460,1.0,2109,534,439,1195
2022-01-26,36.083333333333336,0.0,0.0,0.0,1.125,20.764379096346744,20.794029054646206,19.341213143829975,19.67723846435547,135786400.0,0.0,0.0,5218,2656,7.0,1811,550,561,1255
2022-01-27,23.458333333333332,0.0,1.5416666666666667,2.4166666666666665,0.8333333333333334,20.072562717625047,20.408588053237033,19.183084664261184,19.321447372436523,105674400.0,0.0,0.0,6209,2835,5.0,1871,602,551,1397
2022-01-28,20.166666666666668,0.0,1.25,0.875,1.0416666666666667,19.19230718251074,19.42078657879246,18.79495129881594,19.41085433959961,87677100.0,0.1,0.0,5437,2967,9.0,1861,580,744,1464
